File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\AnimationComponent.h,66,44,27,0,11,0,11,26,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\AttackInfo.h,59,43,22,4,9,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Camera2D.h,54,35,30,0,12,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CameraMoveMessage.h,30,18,6,0,5,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Card.h,36,30,14,0,6,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Circle.h,31,17,10,0,7,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CollisionComponent.h,38,23,16,0,8,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CollisionMessage.h,26,15,7,0,4,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\CollisionSystem.h,64,38,29,0,17,0,9,29,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Component.h,37,24,8,0,6,0,7,15,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Controller.h,72,48,39,0,17,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Deck.h,25,18,11,0,7,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\DoorLogicComponent.h,50,30,19,0,12,0,8,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyAttackState.h,35,19,13,0,7,0,9,28,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyIdleState.h,25,13,9,0,5,0,7,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyLogicComponent.h,52,30,21,0,14,0,8,24,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyState.h,40,25,14,0,7,0,8,28,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EnemyTargetState.h,32,19,14,0,6,0,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EntityDestroyMessage.h,26,14,5,0,5,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\EntitySystem.h,68,48,34,1,13,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\ErrorSystem.h,33,17,8,1,8,1,8,32,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Font.h,60,40,28,0,13,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\FontCache.h,34,18,10,0,9,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Game.h,74,51,39,1,16,0,7,26,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\GameInitSystem.h,45,28,15,1,9,0,8,31,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Grid.h,47,28,21,0,10,0,9,36,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\GridNode.h,44,30,17,1,7,0,7,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\IMessage.h,37,25,8,0,5,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputComponent.h,44,24,17,0,13,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputDevice.h,46,28,15,0,11,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputMessage.h,86,64,27,0,15,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\InputSystem.h,56,35,23,1,14,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\IShape.h,55,38,19,0,10,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\IState.h,54,37,16,0,9,0,8,27,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Keyboard.h,35,22,13,0,6,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Line.h,27,17,11,0,3,1,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\List.h,2,1,0,0,1,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\LogicComponent.h,53,35,17,0,11,0,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\LogicSystem.h,44,25,14,1,12,0,7,21,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\MessageSystem.h,65,44,30,1,12,0,9,25,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Mouse.h,40,27,17,0,6,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\MoveMessage.h,26,15,7,0,4,0,7,10,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Node.h,38,25,13,0,6,0,7,16,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\OldMessage.h,66,49,32,0,10,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\PhysicsSystem.h,69,43,24,2,17,0,9,22,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\PlayerIdleState.h,25,13,7,0,5,0,7,20,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\PlayerLogicComponent.h,48,29,18,0,12,0,7,17,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\PlayerMoveState.h,28,15,10,0,6,0,7,16,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\PlayerState.h,31,17,10,0,7,0,7,19,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Rectangle.h,42,26,19,0,9,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Renderer.h,56,32,27,0,14,0,10,26,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\RenderSystem.h,122,81,50,2,28,0,13,68,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\resource.h,15,8,0,0,2,0,5,17,5,17
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\ResourceManager.h,52,31,19,1,14,0,7,17,0,0
